source_page,source_row,category,description,manufacturer_code,brand,quantity,source_price_cents,sale_price_cents,total_cents,confidence,source_fingerprint,internal_code,slug,issues
1,1,Borracha e vedação,Pestana Palio/Siena/Week 4 pts. Dianteira Direita <04,39131,UNIVERSAL,5,4500,5850,29250,high,90f142febb1ae45bc670b241fa047c859e146f7f0d8cf03131fd35eb1929fa16,APM1-0001,pestana-palio-siena-week-4-pts-dianteira-direita-04-apm1-0001,
1,2,Borracha e vedação,"JG Canaleta Cam./Pick-up (6 pçs) (Sapão), c/Pestana 93/98",38615,UNIFLEX,2,16500,21450,42900,high,a50746e6f9a756d85aeb4ee6c5c94a9c0ff6e10bc1039e51e4170008caaf83ef,APM1-0002,jg-canaleta-cam-pick-up-6-pcs-sapao-c-pestana-93-98-apm1-0002,
1,3,Borracha e vedação,Pingadeira Palio 2 pts./Pick-up Esquerda (Encaixe) (todo ano),38983,UNIFLEX,1,12500,16250,16250,high,2c7f3a09758fb02d25bf1164b4d1d99eb7b99686f80ba58bdfa49047487f4a0a,APM1-0003,pingadeira-palio-2-pts-pick-up-esquerda-encaixe-todo-ano-apm1-0003,
1,4,Borracha e vedação,Pingadeira Palio 2 pts./Pick-up Direita (Encaixe) (todo ano),38984,UNIFLEX,1,12500,16250,16250,high,185bfb86bdd7d585d1973f02911aa3bc5f1b83d678ebbb2a5c0e9e334a95bb39,APM1-0004,pingadeira-palio-2-pts-pick-up-direita-encaixe-todo-ano-apm1-0004,
1,5,Borracha e vedação,JG Canaleta Corsa 4 pts./ Hatch/ Sedan/(modelo antigo) Diant (c/Pestana ) <11,38076,UNIVERSAL,2,14300,18590,37180,high,e5def8477d150c6e12f9516fe71a0648c4cc748aea5c9c6811832c435216357f,APM1-0005,jg-canaleta-corsa-4-pts-hatch-sedan-modelo-antigo-diant-c-pestana-11-apm1-0005,
1,6,Borracha e vedação,JG Canaleta Pick-up/Veraneio Dianteira c/Pestana Flocada (C-10/C-14/D-10) 64/84,38030,UNIFLEX,2,22000,28600,57200,high,be5956afcc7c4b77fd46efb235bb1689a3e95f857e21361f97c0ad0c86e6c548,APM1-0006,jg-canaleta-pick-up-veraneio-dianteira-c-pestana-flocada-c-10-c-14-d-10-64-84-apm1-0006,
1,7,Borracha e vedação,Canaleta Gol/ Parati (bola) c/pestana ext. acoplada (mod. orig.)(2 pçs) Esq./Dir. 95>,37571,UNIFLEX,1,23500,30550,30550,high,02b72d8cb65567bc26da5032d52e990c0c92dff52d5b85b59b966eb4aeddf5bd,APM1-0007,canaleta-gol-parati-bola-c-pestana-ext-acoplada-mod-orig-2-pcs-esq-dir-95-apm1-0007,
1,8,Borracha e vedação,JG Gol/Parati/Voyage/Saveiro (10 pçs) c/Pestanas <87,37504,UNIFLEX,1,12500,16250,16250,high,455a745f7f949a1268eedf7ced4e98d504cec2de95215e14993812c7695cf2b5,APM1-0008,jg-gol-parati-voyage-saveiro-10-pcs-c-pestanas-87-apm1-0008,
1,9,Borracha e vedação,JG Passat 2/3 pts. (10 pçs) c/Pestanas Int./Ext. todos,37500,UNIFLEX,2,18500,24050,48100,high,3f94512ee6bb9b8f394ed539ded365a8fec111ed87c7ac61e389fbe9386d9b10,APM1-0009,jg-passat-2-3-pts-10-pcs-c-pestanas-int-ext-todos-apm1-0009,
1,10,Borracha e vedação,JG Canaleta Bandeirantes (4 pçs) Flocada c/Pestana Externa 85/00,39611,UNIFLEX,1,10200,13260,13260,high,46bb08292b47b01c9de941aa777e0af2ff2733099af92fdefc6a2d88d528f007,APM1-0010,jg-canaleta-bandeirantes-4-pcs-flocada-c-pestana-externa-85-00-apm1-0010,
